,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,x_kpca_rbf,y_kpca_rbf,cluster_kpca_rbf
62,Retail,other,7823,6245,6544,4154,4074,964,-0.009699948119071137,-0.19621106885775388,2
63,Retail,other,9396,11601,15775,2896,7677,1295,0.6401918706005624,-0.24099799892956275,3
64,HoReCa,other,4760,1227,3250,3724,1247,1145,-0.33968773404833646,-0.13477912051815047,4
65,Retail,other,85,20959,45828,36,24231,1423,0.44103586711671033,0.2616736195916991,1
66,HoReCa,other,9,1534,7417,175,3468,27,-0.09322374084289013,-0.41307713761200326,2
67,Retail,other,19913,6759,13462,1256,5141,834,0.2924046416705139,0.00012687407189283578,3
68,HoReCa,other,2446,7260,3993,5870,788,3095,-0.05997070116971608,-0.0629219989364073,4
69,HoReCa,other,8352,2820,1293,779,656,144,-0.37944416017539295,-0.13546815859725853,4
70,HoReCa,other,16705,2037,3202,10643,116,1365,-0.05060659132237199,0.48102575194277314,1
71,HoReCa,other,18291,1266,21042,5373,4173,14472,0.3992597551893951,0.263475090371273,1
72,HoReCa,other,4420,5139,2661,8872,1321,181,-0.11135435138412852,0.0960735549759156,0
73,Retail,other,19899,5332,8713,8132,764,648,0.0008987162689018329,0.409408319041779,1
74,Retail,other,8190,6343,9794,1285,1901,1780,-0.01072082002817019,-0.26244056436794816,2
75,HoReCa,other,20398,1137,3,4407,3,975,-0.298801972844894,0.416534252496379,0
76,HoReCa,other,717,3587,6532,7530,529,894,-0.12822467153058587,-0.04654708810697761,4
77,Retail,other,12205,12697,28540,869,12034,1009,0.792375244883321,0.007641589923586335,3
78,HoReCa,other,10766,1175,2067,2096,301,167,-0.4098498165501623,-0.0068832712708614754,4
79,HoReCa,other,1640,3259,3655,868,1202,1653,-0.2610406538069766,-0.3184717675598496,4
80,HoReCa,other,7005,829,3009,430,610,529,-0.3779155808867273,-0.1730841990779726,4
81,Retail,other,219,9540,14403,283,7818,156,0.5725819154133496,-0.4145797417023827,3
82,Retail,other,10362,9232,11009,737,3537,2342,0.24022639466350387,-0.24484206557609892,2
83,HoReCa,other,20874,1563,1783,2320,550,772,-0.29618269339744846,0.33081418448807187,0
84,Retail,other,11867,3327,4814,1178,3837,120,-0.1648772854952068,-0.14752191500710596,4
85,Retail,other,16117,46197,92780,1026,40827,2944,0.3883366736832284,0.2562637349561329,1
86,Retail,other,22925,73498,32114,987,20070,903,0.38843674479929285,0.25633930577869984,1
87,HoReCa,other,43265,5025,8117,6312,1579,14351,0.3948303497119403,0.282563572481717,1
88,HoReCa,other,7864,542,4042,9735,165,46,-0.14163510995777098,0.247330682175917,0
89,HoReCa,other,24904,3836,5330,3443,454,3178,-0.05385762013279193,0.47794384547209146,1
90,HoReCa,other,11405,596,1638,3347,69,360,-0.41366092797510867,0.07913795302740641,0
91,HoReCa,other,12754,2762,2530,8693,627,1117,-0.17362761022052575,0.3225087737341826,0
92,Retail,other,9198,27472,32034,3232,18906,5130,0.5108182391595907,0.25525282250221737,1
93,HoReCa,other,11314,3090,2062,35009,71,2698,0.3900350151310968,0.26391317650155033,1
94,Retail,other,5626,12220,11323,206,5038,244,0.40488126797222856,-0.3705245523594407,2
95,HoReCa,other,3,2920,6252,440,223,709,-0.24060060089851418,-0.3535239289116523,4
96,Retail,other,23,2616,8118,145,3874,217,-0.028894103489518055,-0.44301064413346536,2
97,HoReCa,other,403,254,610,774,54,63,-0.36414555189200765,-0.22878674663581552,4
98,HoReCa,other,503,112,778,895,56,132,-0.36742690630912506,-0.22596087671538254,4
99,HoReCa,other,9658,2182,1909,5639,215,323,-0.34498254262196687,0.10798564535391868,0
100,Retail,other,11594,7779,12144,3252,8035,3029,0.48117083153627893,-0.14905364291346082,3
101,Retail,other,1420,10810,16267,1593,6766,1838,0.6231583558865986,-0.37777942194277053,3
102,Retail,other,2932,6459,7677,2561,4573,1386,0.08900658922927386,-0.38479385363196406,2
103,HoReCa,other,56082,3504,8906,18028,1480,2498,0.40849070562391054,0.396070067382626,1
104,HoReCa,other,14100,2132,3445,1336,1491,548,-0.3249884778073255,0.01746040848612212,4
105,HoReCa,other,15587,1014,3970,910,139,1378,-0.33552612925542186,0.1088106263190947,0
106,Retail,other,1454,6337,10704,133,6830,1831,0.3559703986970568,-0.4454110428548871,2
107,Retail,other,8797,10646,14886,2471,8969,1438,0.6569576061315461,-0.25306715061889956,3
108,Retail,other,1531,8397,6981,247,2505,1236,0.03254596291349781,-0.42573239496644544,2
109,Retail,other,1406,16729,28986,673,836,3,0.5670440133693179,-0.02176429721600241,3
110,HoReCa,other,11818,1648,1694,2276,169,1647,-0.3856418282991103,0.053382087021747605,0
111,Retail,other,12579,11114,17569,805,6457,1519,0.6149712853516305,-0.2154250151171675,3
112,HoReCa,other,19046,2770,2469,8853,483,2708,-0.0658696226125344,0.5015456168575977,1
113,HoReCa,other,14438,2295,1733,3220,585,1561,-0.3489118357948729,0.1564768840853581,0
114,HoReCa,other,18044,1080,2000,2555,118,1266,-0.3411472876164217,0.2651940618756577,0
115,HoReCa,other,11134,793,2988,2715,276,610,-0.4010285754637832,0.025620159890378424,4
116,HoReCa,other,11173,2521,3355,1517,310,222,-0.3728441164416735,-0.04533140277986471,4
117,HoReCa,other,6990,3880,5380,1647,319,1160,-0.29763247344282595,-0.19250409541862676,4
118,HoReCa,other,20049,1891,2362,5343,411,933,-0.255981328639912,0.4135922402946953,0
119,HoReCa,other,8258,2344,2147,3896,266,635,-0.384857046257995,-0.017045820057282307,4
120,HoReCa,other,17160,1200,3412,2417,174,1136,-0.3382159568239349,0.2135576182307941,0
121,HoReCa,other,4020,3234,1498,2395,264,255,-0.37257923358882633,-0.18563089819244333,4
122,HoReCa,other,12212,201,245,1991,25,860,-0.4243548389161237,0.07877409271485158,0
123,Retail,other,11170,10769,8814,2194,1976,143,0.09054443614693221,-0.16089831311668937,2
124,HoReCa,other,36050,1642,2961,4787,500,1621,0.06833101231458334,0.7353255086402101,1
125,HoReCa,other,76237,3473,7102,16538,778,918,0.4068230009577629,0.3174255981544432,1
126,HoReCa,other,19219,1840,1658,8195,349,483,-0.16882061944967508,0.47507160880095917,0
127,Retail,other,21465,7243,10685,880,2386,2749,0.14505130547022538,0.15897498780264652,1
128,HoReCa,other,140,8847,3823,142,1062,3,-0.09016179496558387,-0.3645627782042599,2
129,HoReCa,other,42312,926,1510,1718,410,1819,0.16521177354728686,0.7019507615988392,1
130,HoReCa,other,7149,2428,699,6316,395,911,-0.31819281870118477,0.08791208283469513,0
131,HoReCa,other,2101,589,314,346,70,310,-0.3790241248745067,-0.21587082184977657,4
132,HoReCa,other,14903,2032,2479,576,955,328,-0.3417193943007154,0.045470609654344296,0
133,HoReCa,other,9434,1042,1235,436,256,396,-0.4060073391274109,-0.08040239432537237,4
134,HoReCa,other,7388,1882,2174,720,47,537,-0.3963433707492268,-0.14462575969882968,4
135,HoReCa,other,6300,1289,2591,1170,199,326,-0.39732774261838977,-0.16217998811174505,4
136,HoReCa,other,4625,8579,7030,4575,2447,1542,0.02189328518387572,-0.21594184207017653,2
137,HoReCa,other,3087,8080,8282,661,721,36,-0.05358515572264601,-0.35499016249635,2
138,HoReCa,other,13537,4257,5034,155,249,3271,-0.16553635977965112,0.02342638125042123,0
139,HoReCa,other,5387,4979,3343,825,637,929,-0.29050990777311403,-0.25377422418426654,4
140,HoReCa,other,17623,4280,7305,2279,960,2616,-0.12177803098212575,0.16569803317833576,0
141,HoReCa,other,30379,13252,5189,321,51,1450,0.18551001238519765,0.40623128824456267,1
142,HoReCa,other,37036,7152,8253,2995,20,3,0.16751582885839428,0.6198053550109609,1
143,HoReCa,other,10405,1596,1096,8425,399,318,-0.22829519526764727,0.26305044158218455,0
144,HoReCa,other,18827,3677,1988,118,516,201,-0.27765354263986075,0.16401730974887285,0
145,Retail,other,22039,8384,34792,42,12591,4430,0.594726408134648,0.17396911873125687,3
146,HoReCa,other,7769,1936,2177,926,73,520,-0.3991324831147632,-0.13114476300919978,4
147,HoReCa,other,9203,3373,2707,1286,1082,526,-0.3467442842458109,-0.13486305936731852,4
148,HoReCa,other,5924,584,542,4052,283,434,-0.404739630804731,-0.031079289192234082,4
149,HoReCa,other,31812,1433,1651,800,113,1440,-0.05783684899296485,0.584411016109578,1
150,HoReCa,other,16225,1825,1765,853,170,1067,-0.3546433394214767,0.13638816960781563,0
151,HoReCa,other,1289,3328,2022,531,255,1774,-0.2987011536541508,-0.27643536095532434,4
152,HoReCa,other,18840,1371,3135,3001,352,184,-0.3178863673926578,0.2740457942617449,0
153,HoReCa,other,3463,9250,2368,779,302,1627,-0.13675359207538215,-0.2549738860650587,4
154,HoReCa,other,622,55,137,75,7,8,-0.35613790579555155,-0.22435907972860514,4
155,Retail,other,1989,10690,19460,233,11577,2153,0.7953616515078539,-0.20293077559309708,3
156,Retail,other,3830,5291,14855,317,6694,3182,0.45369090634178855,-0.34067754112255305,3
157,HoReCa,other,17773,1366,2474,3378,811,418,-0.3282392887694633,0.2521208905947929,0
158,Retail,other,2861,6570,9618,930,4004,1682,0.1343239288425569,-0.43194495745137673,2
159,Retail,other,355,7704,14682,398,8077,303,0.5496668663183775,-0.41815420001326087,3
160,Retail,other,1725,3651,12822,824,4424,2157,0.19940845321190714,-0.41234200288990913,2
161,HoReCa,other,12434,540,283,1092,3,2233,-0.3684526872469839,0.07720964736390683,0
162,HoReCa,other,15177,2024,3810,2665,232,610,-0.3504243069439396,0.1344271369051964,0
163,Retail,other,5531,15726,26870,2367,13726,446,0.7894216944204896,0.029520644349002895,3
164,Retail,other,5224,7603,8584,2540,3674,238,0.06899318218503904,-0.3470256913445825,2
165,Retail,other,15615,12653,19858,4425,7108,2379,0.672973025388296,-0.027874939387896536,3
166,Retail,other,4822,6721,9170,993,4973,3637,0.24089310934810038,-0.3041651996597497,2
167,HoReCa,other,2926,3195,3268,405,1680,693,-0.2776570476752987,-0.3267866830786446,4
168,HoReCa,other,5809,735,803,1393,79,429,-0.420157571955942,-0.1317391897218721,4
169,HoReCa,other,5414,717,2155,2399,69,750,-0.40977220212976384,-0.12434563292776138,4
170,Retail,other,260,8675,13430,1116,7015,323,0.4872324052395746,-0.44219298230636706,3
171,Retail,other,200,25862,19816,651,8773,6250,0.592399269901344,0.1413922058211054,3
172,HoReCa,other,955,5479,6536,333,2840,707,-0.06706054380402131,-0.4412158744111226,2
173,Retail,other,514,7677,19805,937,9836,716,0.7190963979951562,-0.29888298115073586,3
174,HoReCa,other,286,1208,5241,2515,153,1442,-0.29437067941207234,-0.2520141265618345,4
175,Retail,other,2343,7845,11874,52,4196,1697,0.27234170237511834,-0.4521558669606522,2
176,HoReCa,other,45640,6958,6536,7368,1532,230,0.3102135041673325,0.6763598296580619,1
177,HoReCa,other,12759,7330,4533,1752,20,2631,-0.15279810966324028,0.01670080442563231,0
178,HoReCa,other,11002,7075,4945,1152,120,395,-0.2219526716786723,-0.10775353195881968,4
179,HoReCa,other,3157,4888,2500,4477,273,2165,-0.24829625537478134,-0.111976764018853,4
180,HoReCa,other,12356,6036,8887,402,1382,2794,-0.0218881346898329,-0.10398787050332259,2
181,HoReCa,other,112151,29627,18148,16745,4948,8550,0.388314615563745,0.25630156501009654,1
182,HoReCa,other,694,8533,10518,443,6907,156,0.3915930928740389,-0.4528884260766431,2
183,HoReCa,other,36847,43950,20170,36534,239,47943,0.3881998035138976,0.25613856847700717,1
184,HoReCa,other,327,918,4710,74,334,11,-0.2940053286966309,-0.31049338726028003,4
185,HoReCa,other,8170,6448,1139,2181,58,247,-0.31322988744451846,-0.10348108526814367,4
186,HoReCa,other,3009,521,854,3470,949,727,-0.3772729060775655,-0.13698342092036175,4
187,HoReCa,other,2438,8002,9819,6269,3459,3,0.13877582408038666,-0.20776928757393706,2
188,Retail,other,8040,7639,11687,2758,6839,404,0.3673561639173328,-0.30941733735075777,2
189,Retail,other,834,11577,11522,275,4027,1856,0.37704365907527904,-0.418538109311079,2
190,HoReCa,other,16936,6250,1981,7332,118,64,-0.1561595470235085,0.35354819235948826,0
191,HoReCa,other,13624,295,1381,890,43,84,-0.3988728143339673,0.06623095846740648,0
192,HoReCa,other,5509,1461,2251,547,187,409,-0.3873001394851869,-0.193182988641789,4
193,Retail,other,180,3485,20292,959,5618,666,0.4618749665084129,-0.3536692578954008,3
194,HoReCa,other,7107,1012,2974,806,355,1142,-0.38210573673072534,-0.15120207483643056,4
195,HoReCa,other,17023,5139,5230,7888,330,1755,-0.09205758470871368,0.3844595108821907,0
196,HoReCa,Lisbon,30624,7209,4897,18711,763,2876,0.3623503858158114,0.47393955326481685,1
197,Retail,Lisbon,2427,7097,10391,1127,4314,1468,0.19270487994514793,-0.4451111012762359,2
198,HoReCa,Lisbon,11686,2154,6824,3527,592,697,-0.2911484181274306,0.013393887601179964,4
199,HoReCa,Lisbon,9670,2280,2112,520,402,347,-0.3825170693563432,-0.10321657793792108,4
200,Retail,Lisbon,3067,13240,23127,3941,9959,731,0.8048675789894466,-0.14167098380226614,3
201,Retail,Lisbon,4484,14399,24708,3549,14235,1681,0.7933232157910514,0.015636247345396995,3
202,HoReCa,Lisbon,25203,11487,9490,5065,284,6854,0.3334078602460835,0.3837545277653364,1
203,HoReCa,Lisbon,583,685,2216,469,954,18,-0.32765898664681825,-0.2862859796563113,4
204,HoReCa,Lisbon,1956,891,5226,1383,5,1328,-0.3192151955722069,-0.2532410824364381,4
205,Retail,Lisbon,1107,11711,23596,955,9265,710,0.8036887181868522,-0.21859328560352762,3
206,HoReCa,Lisbon,6373,780,950,878,288,285,-0.4112585573437755,-0.14105782931902658,4
207,Retail,Lisbon,2541,4737,6089,2946,5316,120,0.02314815143031474,-0.3560255056172213,2
208,HoReCa,Lisbon,1537,3748,5838,1859,3381,806,-0.12174651939146633,-0.3868296031328021,2
209,Retail,Lisbon,5550,12729,16767,864,12420,797,0.7807516033216427,-0.1677634274327285,3
210,HoReCa,Lisbon,18567,1895,1393,1801,244,2100,-0.2984211934513088,0.26438603715793724,0
211,Retail,Lisbon,12119,28326,39694,4736,19410,2870,0.48259727913377226,0.2648276994777209,1
212,HoReCa,Lisbon,7291,1012,2062,1291,240,1775,-0.3817971574398352,-0.10602971176216872,4
213,HoReCa,Lisbon,3317,6602,6861,1329,3961,1215,0.02826683948738831,-0.4069530932577929,2
214,Retail,Lisbon,2362,6551,11364,913,5957,791,0.30181727917151535,-0.4570284996591729,2
215,HoReCa,Lisbon,2806,10765,15538,1374,5828,2388,0.5637770712241386,-0.36653934973052876,3
216,Retail,Lisbon,2532,16599,36486,179,13308,674,0.6823226381255035,0.13431704338982736,3
217,HoReCa,Lisbon,18044,1475,2046,2532,130,1158,-0.3398744420261583,0.2589104696457053,0
218,Retail,Lisbon,18,7504,15205,1285,4797,6372,0.45554840002656427,-0.11542313405861278,3
219,HoReCa,Lisbon,4155,367,1390,2306,86,130,-0.4088252220131948,-0.14165412140723338,4
220,HoReCa,Lisbon,14755,899,1382,1765,56,749,-0.39606144530802495,0.12925247831097775,0
221,HoReCa,Lisbon,5396,7503,10646,91,4167,239,0.17945869742049286,-0.4166085424586756,2
222,HoReCa,Lisbon,5041,1115,2856,7496,256,375,-0.25952944149282625,0.08869134592252116,0
223,Retail,Lisbon,2790,2527,5265,5612,788,1360,-0.2383664414396783,-0.10266885470444746,4
224,HoReCa,Lisbon,7274,659,1499,784,70,659,-0.41341484621250574,-0.12003576570669258,4
225,HoReCa,Lisbon,12680,3243,4157,660,761,786,-0.3153234149337614,-0.04944383464138673,4
226,Retail,Lisbon,20782,5921,9212,1759,2568,1553,0.026312579879098984,0.1585809299529843,0
227,HoReCa,Lisbon,4042,2204,1563,2286,263,689,-0.3888709945620232,-0.17749864315925795,4
228,HoReCa,Lisbon,1869,577,572,950,4762,203,-0.18754732195781879,-0.2809367591673478,4
229,HoReCa,Lisbon,8656,2746,2501,6845,694,980,-0.27129754197651973,0.12621155630681744,0
230,Retail,Lisbon,11072,5989,5615,8321,955,2137,-0.052630294241402954,0.22245097841538963,0
231,HoReCa,Lisbon,2344,10678,3828,1439,1566,490,-0.02773464112445402,-0.31577892624535514,2
232,HoReCa,Lisbon,25962,1780,3838,638,284,834,-0.16974264318817,0.41991383390600817,0
233,HoReCa,Lisbon,964,4984,3316,937,409,7,-0.265664683333008,-0.32214336671528715,4
234,HoReCa,Lisbon,15603,2703,3833,4260,325,2563,-0.24753433848759834,0.23962082007586982,0
235,HoReCa,Lisbon,1838,6380,2824,1218,1216,295,-0.2197841229042636,-0.32866618642636286,4
236,HoReCa,Lisbon,8635,820,3047,2312,415,225,-0.4016818557092003,-0.07035311448754594,4
237,HoReCa,Lisbon,18692,3838,593,4634,28,1215,-0.27968324696533775,0.35642073388027096,0
238,HoReCa,Lisbon,7363,475,585,1112,72,216,-0.42396326490680036,-0.0959961882911943,4
239,HoReCa,Lisbon,47493,2567,3779,5243,828,2253,0.28575716089535225,0.7247260329217594,1
240,HoReCa,Lisbon,22096,3575,7041,11422,343,2564,0.1183127783194574,0.5631274838825197,1
241,HoReCa,Lisbon,24929,1801,2475,2216,412,1047,-0.20941675695844125,0.4534930908895601,0
242,HoReCa,Lisbon,18226,659,2914,3752,586,578,-0.322083803129036,0.29073159427008444,0
243,HoReCa,Lisbon,11210,3576,5119,561,1682,2398,-0.20226047870216776,-0.10490391868740488,4
244,HoReCa,Lisbon,6202,7775,10817,1183,3143,1970,0.1552159436674891,-0.3456917103759866,2
245,Retail,Lisbon,3062,6154,13916,230,8933,2784,0.5547240543368969,-0.3343174832850535,3
246,HoReCa,Lisbon,8885,2428,1777,1777,430,610,-0.3980661456347267,-0.0857240157589316,4
247,HoReCa,Lisbon,13569,346,489,2077,44,659,-0.4156248975924334,0.11627520898098706,0
248,HoReCa,Lisbon,15671,5279,2406,559,562,572,-0.2780181716597751,0.05471675252047328,0
249,HoReCa,Lisbon,8040,3795,2070,6340,918,291,-0.2759581816272657,0.06616679216806405,0
250,HoReCa,Lisbon,3191,1993,1799,1730,234,710,-0.381346064972393,-0.2123696523667923,4
251,Retail,Lisbon,6134,23133,33586,6746,18594,5121,0.5198331683050443,0.24797078281091559,1
252,HoReCa,Lisbon,6623,1860,4740,7683,205,1693,-0.2050585432769166,0.12854263416523443,0
253,HoReCa,Lisbon,29526,7961,16966,432,363,1391,0.26757382476596436,0.3361674851206962,1
254,HoReCa,Lisbon,10379,17972,4748,4686,1547,3265,0.3041446964083772,0.06877205850171819,1
255,HoReCa,Lisbon,31614,489,1495,3242,111,615,-0.07754402837794978,0.6389873371305025,1
256,HoReCa,Lisbon,11092,5008,5249,453,392,373,-0.26543364349645,-0.12555097644843324,4
257,HoReCa,Lisbon,8475,1931,1883,5004,3593,987,-0.2348080214109313,-0.022826736953050698,4
258,HoReCa,Lisbon,56083,4563,2124,6422,730,3321,0.37758291119938603,0.6033152012679042,1
259,HoReCa,Lisbon,53205,4959,7336,3012,967,818,0.3457109902922625,0.6348102604496022,1
260,HoReCa,Lisbon,9193,4885,2157,327,780,548,-0.3132597308191737,-0.15725808158483215,4
261,HoReCa,Lisbon,7858,1110,1094,6818,49,287,-0.31645711151871153,0.13895899411569207,0
262,HoReCa,Lisbon,23257,1372,1677,982,429,655,-0.25159776129934586,0.3623128096862703,0
263,HoReCa,Lisbon,2153,1115,6684,4324,2894,411,-0.17696451432544877,-0.23478670625453038,4
264,Retail,Lisbon,1073,9679,15445,61,5980,1265,0.5323016278035858,-0.436333622407319,3
265,HoReCa,Lisbon,5909,23527,13699,10155,830,3636,0.4585752361317086,0.19049822353758158,1
266,Retail,Lisbon,572,9763,22182,2221,4882,2563,0.6284571456252738,-0.2732383381151285,3
267,HoReCa,Lisbon,20893,1222,2576,3975,737,3628,-0.1426028778126146,0.41260811072179154,0
268,Retail,Lisbon,11908,8053,19847,1069,6374,698,0.5784450537863965,-0.22551686473226368,3
269,HoReCa,Lisbon,15218,258,1138,2516,333,204,-0.39190390584979823,0.16641640698709217,0
270,HoReCa,Lisbon,4720,1032,975,5500,197,56,-0.35324101628123056,-0.0002476819989493964,4
271,HoReCa,Lisbon,2083,5007,1563,1120,147,1550,-0.29186345514992057,-0.25930734529743643,4
272,HoReCa,Lisbon,514,8323,6869,529,93,1040,-0.07505103033487194,-0.3612560683776751,2
273,HoReCa,other,36817,3045,1493,4802,210,1824,0.08797605088462902,0.7434248092950706,1
274,HoReCa,other,894,1703,1841,744,759,1153,-0.3314489770302174,-0.28289127420878263,4
275,HoReCa,other,680,1610,223,862,96,379,-0.3649894710298014,-0.24151561398627808,4
276,HoReCa,other,27901,3749,6964,4479,603,2503,0.002320041323092795,0.5687935392483449,1
277,HoReCa,other,9061,829,683,16919,621,139,0.2101258882081073,0.40133163059365184,1
278,HoReCa,other,11693,2317,2543,5845,274,1409,-0.30876620043692754,0.18282713006551435,0
279,Retail,other,17360,6200,9694,1293,3620,1721,0.08769572443434584,-0.010576926365420503,2
280,HoReCa,other,3366,2884,2431,977,167,1104,-0.35060869111996606,-0.24372613669287232,4
281,Retail,other,12238,7108,6235,1093,2328,2079,-0.05739476711404868,-0.12375528535901476,4
282,HoReCa,other,49063,3965,4252,5970,1041,1404,0.31007578681446146,0.7090390097921295,1
283,HoReCa,other,25767,3613,2013,10303,314,1384,0.04305287994316254,0.6381260066603726,1
284,HoReCa,other,68951,4411,12609,8692,751,2406,0.41581643774823984,0.41934271639885157,1
285,HoReCa,other,40254,640,3600,1042,436,18,0.12254054305859298,0.6534871681387451,1
286,HoReCa,other,7149,2247,1242,1619,1226,128,-0.37918682893889905,-0.15095520233777998,4
287,HoReCa,other,15354,2102,2828,8366,386,1027,-0.18366779502095706,0.38315128280789873,0
288,HoReCa,other,16260,594,1296,848,445,258,-0.3677216908530888,0.13757464025499688,0
289,HoReCa,other,42786,286,471,1388,32,22,0.15619673224980773,0.6652264783225915,1
